kana,hina,romaji,english,explanation
ジーッ,じーっ,ji-,(1) *whine*;(2) *stare*,"(1) Like when microphone is too close to the speakers, see also *Ui-n*;(2) As in staring at someone, or looking at something for an extended period of time.  Comes from the ""ji-"" in ""jiro jiro miru"" (じろじろ見る)."
ジー,じー,ji-,(1) *stare* *silence* *frozen*;(2) *zip* *unzip*,"(1) The sound of staring, silence, or of remaining frozen/motionless;(2) To undress or open something (with a zipper or sliding seal)"
ジーーー,じーーー,ji---,*sta----re*,At one point/person for a long time.  Unlike ジロジロ (Jiro jiro) it doesn't necessarily mean you are or want to fully examine the thing you are looking at.
ジーコジーコ,じーこじーこ,ji-ko ji-ko,*whir-whirl**whirr*,"SFX for a mechanical wind-up sound, such as a wind-up robot or mechanical figurine."
ジーン,じーん,ji-n,(1) *stare**silence**frozen*;(2) *shine**glow*;(3) *touched*,"(1) The sound of staring, silence, or of remaining frozen/motionless;(2) Happy feeling, comedic awe."
ジート,じーと,ji-to,*stare* *silence* *frozen*,"The sound of staring, silence, or of remaining frozen/motionless."
ジートン,じーとん,ji-ton,*stare* *silence* *frozen*,"The sound of staring, silence, or of remaining frozen/motionless."
ジーウ,じーう,ji-u,*jeeewooo*,"Song of cicadas, cicada cry."
ジィーッ,じぃーっ,jii-,*stare* *staaare*,SFX for gazing fixedly at something or someone.
ジジジ,じじじ,jijijiji,*slowly burning* *bz bz bz*,SFX for gathering one's energy.
ジックリ,じっくり,jikkuri,*carefully**thoroughly**slowly*,See also *shikkari*.
ジクジク,じくじく,jiku jiku,(1) *oozing*;(2) *numb*,(1) Usually from wounds.
ジメジメ,じめじめ,jime jime,*humid*,"A state which is very humid, usually to describe weather."
ジリ,じり,jiri,(1) *scrape*;(2) *inch forward* *inch backward*,(1) Something scraping the ground;(2) Sometimes used for a character inching forward or backward.
ジリジリ,じりじり,jiri jiri,(1) *closing in*;(2) *burning*;(3) *scrape*,(1) Person A closes in/backs away from Person B;(2) The sun is slowly working its way into things (i.e. your skin);(3) Something scraping on the ground.
ジリリ,じりり,jiriri,*beep beep beep**ding-a-ling-a-ling*,Sound of an alarm clock.
ジロ,じろ,jiro,*hard stare* *stare*,Momentary.
ジロジロ,じろじろ,jiro jiro,*stare~~~* *stare**stare stare*,"Impression that you are staring at something because you are or want to examine it further.  It has caught your attention.Note: ""jiro jiro miru"" or 「じるじる見る」 literally means ""to stare.""In Japan, this is considered rude behavior."
ジタバタ,じたばた,jita bata,(1) *running about* *busy busy*;(2) *resisting*,(1)SFX for when you run about busily;(2) when one is trying to resist something being done to them by force (being tied up).
ジトー,じとー,jito-,*stare*,In the sense that something has caught your attention and you can't take your eyes off it.  It can be intentional or unintentional.
ジット,じっと,jitto,(1) *watch**stare**staring*;(2) *standing still**frozen**stuck wandering in**trying to bear it*,"(1) This is a short form of the Japanese version of ""rude staring"" or 「じろじろ見る」;(2) To be stuck in a phase or condition, Ex: ""Even if it's painful, you must bear with it""."
ジワ,じわ,jiwa,*sniff* *tear*,"SFX for when tears built up, verge of crying."
ジワジワ,じわじわ,jiwa jiwa,*slowly happening* *sinking in*,
ジョ,じょ,jo,*flow* *pour*,"Water or liquid flowing or pouring.  See also *dara dara*, *jururu*, and *zururu*."
ジョー,じょー,jo-,*splaash*,SFX for water coming from a hose.
ジョバッ,じょばっ,joba,*wets**gets wet*,"SFX for wetting one's pants, losing control of bladder."
ジョリジョリ,じょりじょり,jori jori,(1) *shave* *cut cut*,(1) Sound of a man shaving;(2) Can be used to portray something similar to ジャリジャリ (Jari jarI).
ジョロジョロ,じょろじょろ,joro joro,*flow* *pour*,"Water or liquid flowing or pouring.  See also *dara dara*, *jururu*, and *zururu*."
ジョロー,じょろー,joro-,(1) *ssshhh*;(2) *pour*,"(1) Usually for when someone's peeing;(2) Can be used for liquid pouring, but not common."
ジュー,じゅー,ju-,*sizzle*,Like meat on a BBQ.
ジュル,じゅる,juru,*drool*,
ジュルル,じゅるる,jururu,*drool*,"See also *dara dara*, *jo*, and *zururu*."
ジャー,じゃー,jya-,*shaa* *shaaa*,"SFX for flowing water, such as from a faucet."
ジャーン,じゃーん,jya-n,*tada!* *tadaa*,"Appearance, usually meant to wow."
ジューッ,じゅーっ,jyu-,*sizzle*,Something frying on the pan.
ジュージュー,じゅーじゅー,jyu- jyu-,*sizzle sizzle*,"SFX for something cooking, or grilling."
シャッ,しゃっ,sha,*slice* *slash* *shaa* *whoosh*,SFX for something slicing the air.
シャー,しゃー,sha-,(1) *pouring water*;(2) *whoosh* *shaa*;(3) *splash*;(4) *slice* *slash* *whoosh*,"(1) SFX for pouring water, like shower; Lighter than ジャー (Jya-);(2) Something slicing the air;(4) Something slicing the air"
シャアシャア,しゃあしゃあ,shaa shaa,*shamelessly* *carefree*,
シャァン,しゃぁん,shaan,*shatter* *crash* *ka-sha* *crack*,SFX for something fragile shattering into a million pieces.Ex: A mirror or glass vase crashing and shattering.
シャカ,しゃか,shaka,*cocks* *clack*,"Sound of cocking a gun, a clacking noise."
シャカシャカ,しゃかしゃか,shaka shaka,(1) *shake shake*;(2) *scrape*;(3) *whisk whisk* *whip whip*,(1) Usually when you're shaking something in your hand.  Usually used when making cocktails;(3) Like when whisking eggs into cream.
シャキ,しゃき,shaki,*sharp* *glitter*,"Something sharp and glittering, like a knife or a pair of scissors."
シャキィーン,しゃきぃーん,shakii-n,*sharp* *glitter*,SFX for something sharp.
シャッキーン,しゃっきーん,shakki-n,*sharp* *glitter*,"Something sharp and glittering, like a knife or a pair of scissors.See also *Shaki* (less powerful)."
シャクシャク,しゃくしゃく,shaku shaku,*snip snip**cut cut*,"SFX for the sound of cutting, such as cutting hair with a pair of scissors."
シャンシャン,しゃんしゃん,shan shan,*tinkle* *ringing* *shing*,SFX for lots of tiny bells ringing.
シャナリシャナリ,しゃなりしゃなり,shanari shanari,*shimmer shimmer**glitter glitter*,"SFX for something glittery and ephemeral, such as the sound of someone beautiful entering the room."
シャラ,しゃら,shara,*rustle* *swish*,SFX for the movement of clothing or cloth-like material.
シャラン,しゃらん,sharan,*rattle* *slide*,"SFX for a light rattling sound, like when pushing open curtains."
シャリ,しゃり,shari,*scrape* *scritch*,SFX for touching something with a rough texture.
シャリシャリ,しゃりしゃり,shari shari,(1) *scrape scrape* *wish wosh*;(2) *luxurious*,(1) SFX for touching something with a rough texture.Like the sound of red beans or rice rubbing against each other when you stir it.  Ex. Kousetsu 100 Monogatari ep 1.
シ,し,shi,*touch* *caress*,To touch someone gently.
シッ,しっ,shi,(1) *swish*;(2) *poke*,(2) I.e. poking someone with your toe.
シーッ,しーっ,shi-,ssshh,Be quiet.
シッシッ,しっしっ,shi- shi-,*shoo shoo*,
シーーーン,しーーーん,shi---n,*silence*,
シーン,しーん,shi-n,*stare* *silence* *frozen*,"The sound of staring, silence, or of remaining frozen/motionless."
シバシバ,しばしば,shiba shiba,*often* *frequently*,
シブシブ,しぶしぶ,shibu shibu,*reluctantly* *so reluctant* *yeah yeah*,
シッカリ,しっかり,shikkari,(1) *tightly**firmly**strongly*(2) *properly**pull it together**get it right*,"(1) Ex: pulling the shutters closed and locking them firmly;(2) Commonly used as a short version of 「しっかりしろ！」or ""shikkari-shiro!"" or ""pull yourself together!"" by leaving out the second half of the expression."
シックリ,しっくり,shikkuri,*carefully**thoroughly**slowly*,"To do something with care.Often used in Japanese expression:「しっくりしろよ！」or ""Pull it together, man!"""
シクシク,しくしく,shiku shiku,*sob sob**boo hoo hoo*,SFX for sobbing.
シン,しん,shin,(1) *silence*;(2) *shocked silence* *shock*,
シンミリ,しんみり,shinmiri,*talking quietly**whisper**quietly**mumble*,To talk quietly and intimately.
シピピ,しぴぴ,shipipi,*fwshh**sprinkle**splashing*,Small splashes of water.See also *pi*.
シレ,しれ,shire,(1) *shrug* *look away*;(2) *so what* *what's it to you*,"(1) When the blame has been placed on him/her, usually because you knew the hidden agenda behind the plot;(2) In a show of indifference, bordering on rudeness."
シタッ,したっ,shita,*ready**ready to go**all set!*,"SFX for being prepared for something, usually used to support comedic relief scenes."
シトシト,しとしと,shito shito,(1) *moisty* *humid*;(2) *raining*;(3) *snowing*;(4) *plop plop*,"Usually to describe weather as opposed to objects, cannot really be used to describe objects; More commonly used to describe state of a general atmosphere.(2) Raining or snowing quietly;(3) Raining or snowing quietly.(4) SFX for gentle raindrops falling down"
シットリ,しっとり,shittori,(1) *moist* *wet*;(2) *calm* *soothing*,"(1) A slightly moist state, usually to describe objects as opposed to weather; Can be used for weather sometimes."
シワシワ,しわしわ,shiwa shiwa,*creased**very wrinkled**wrinkle wrinkle*,SFX for human wrinkles or wrinkles on inanimate objects.
シズ,しず,shizu,*move solemnly*,
ショボ,しょぼ,shobo,*shrug*,"When upset, as シュン (Shun)."
ショボショボ,しょぼしょぼ,shobo shobo,*sad* *mope*,
ションボリ,しょんぼり,shonbori,*hopeless**dejected**discouraged**slumps**gloom*,
シュッ,しゅっ,shu,(1) *woosh*;(2) *rub* *swish*;(3) *block*;(4) *toss* *whoosh*,"(1) Quick movement;(2) Fabric rubbing, swishing;(3) SFX for when fighting, blocking many hits/kicks in one go;(4) SFX for a casual throwing movement."
シュ,しゅ,shu,*whoosh*,"SFX for a swift, fast motion."
シューッ,しゅーっ,shu-,(1) *spray*;(2) *fizzle*;(3) *twee* *whistle*,"(2) Like the sound of fireworks fizzling, or everlasting birthday candles fizzling;(3) SFX for the kettle whistling."
シュー,しゅー,shu-,(1) *fog* *mist* *steam*;(2) *sizzle* *fsshh*,
シュボ,しゅぼ,shubo,*click*,"Ignition of flame, usually a lighter."
シュン,しゅん,shun,*down* *shrug* *upset*,In the sense that you are feeling down or upset; usually when something says something mean to you or talks you down.
シュンッ,しゅんっ,shun,*shoom* *fwoomp* *down* *rock bottom*,"SFX for something hitting ""rock bottom"" - like a happy meter suddenly falling to zero almost as a comedic effect.  Usually used to express emotion."
シュッポ,しゅっぽ,shuppo,*choo choo*,The sound of a train.
シュルッ,しゅるっ,shuru,*fwish* *shhh* *loosen*,I.e. SFX for when loosening one's tie.
シュル,しゅる,shuru,*snake*,Snaking motion.  Often used for Rose Whip or other vines or tendrils snaking around.
シュルシュル,しゅるしゅる,shuru shuru,(1) *undo* *undone*;(2) *shrink*;(3) *whip* *throw*,"(1) SFX for something being undone; usually an obi (Japanese belt for the kimono), ribbons, bandages;(2) SFX for something shrinking in size;(3) SFX of something being thrown, usually something whip-like."
シュルン,しゅるん,shurun,*snake*,Snaking motion.  Often used for Rose Whip or other vines or tendrils snaking around.
シュルル,しゅるる,shururu,*snake*,Snaking motion.  Often used for Rose Whip or other vines or tendrils snaking around.
シュタシュタ,しゅたしゅた,shuta shuta,*ching ching* *woosh woosh*,Usually the SFX for ninjas throwing shurikens or people throwing something similar.
シュウ,しゅう,shuu,(1) *fsshhh*;(2) *hissss*,"(1) Sound of anger/fire rising/settling down;(2) SFX for snakes hissing, ex. Kaidoh in PoT (Prince of Tennis) applies to both of these."
スッ,すっ,su,(1) *pass* *pass by* *ignore* *whoosh*;(2) *pass*;(3) *breathe in*;(4) *rain*;(5) *slow movement*;(6) *hand* *crinkle*;(7) *unravel*;(8) *sst*;(9) *lean in* *lean*;(10) *reach* *pull*;(11) *step* *steps in*,"(1) To walk straight past someone;(2) To put/pass something along;(3) Compare to *fu* (breathe out);(5) Ex. Cloth slowly slipping off, someone moving smoothly;(6) To hand over a sheet of paper to someone;(7) Ex. Unraveling a scroll;(8) Smooth, covert movement;(9) Smooth, looking-over-someone's-shoulder type covert movement;(10) To grab something, to hand over something"
ス,す,su,(1) *lift*;(2) *reach*;(3) *slide* *steps in*;(4) *sst* *glare*;(5) *inhale* *breath* *fuu*,"(3) A smooth, almost covert move;(4) SFX for a deadly shift in mood, such as suddenly looking at something or someone with deadly force;(5) SFX for breathing, using the Japanese phrase ""to smoke"" or 「タバコをすう」"
スー,すー,su-,(1) *sigh*;(2) *slide*,"(1) SFX for soft sighing while sleeping;(2) Like when opening a sliding door, or when someone is opening their eyes."
スーッ,すーっ,su-,(1) *breathe in*;(2) *zzz*;(3) *ignore*,(2) to be fast asleep;(3) To walk past someone completely (usually ignoring them) or in a ghostly fashion.
スベスベ,すべすべ,sube sube,*smooth* *silky*,
スブ,すぶ,subu,*eyes close*,Eyes (and only eyes) closing.
スガガガ,すががが,sugagaga,*menace*,Combination of vigorous action and menace; loud drastic things happening.
スゴーイ,すごーい,sugo-i,*amaaazzzing* *whoa* *wow* *impressed*,"Comes from ""sugoi"" or 「すごい」 which literally translates as ""amazing"" or ""cool.""  Not technically a SFX, but can be used as one."
スイ,すい,sui,*smooth* *shwp* *slip*,"Smooth movement, like the practiced elegance of a good skater, or a smooth cool move by a charismatic character."
スイスイ,すいすい,sui sui,(1) *swimming*;(2) *skating*;(3) *easily*,(3) Expression that you are doing something without effort or trouble.
スカ,すか,suka,(1) *miss*;(2) *refreshed*;(3) *sleeping*;(4) *whoosh*,"(1) To pass through something, like a missed-catch;(2) Feeling of refreshment, ex. when you drink a carbonated drink on a hot day; see also *sawa* and *sawayaka*;(3) See also *gu*, *ku*, and *supigu*;(4) Whooshy sound, sound of swinging a baseball bat and missing."
スカスカ,すかすか,suka suka,*empty*,"Sparse.When you get a big box too light for its size and you shake it, the packing material makes rustling sounds *suka suka*.When you put on a big pair of jeans, you say ""These are suka suka"" (too big)."
スカー,すかー,suka-,(1) *zzz*;(2) *refreshed*,(1) To be fast asleep;(2) To feel refreshed.
スカリ,すかり,sukari,*refreshed*,"Feeling of refreshment, i.e. when you drink a carbonated drink on a hot day.  See also *sawa* and *sawayaka*."
スカト,すかと,sukato,*refreshed*,"Feeling of refreshment, i.e. when you drink a carbonated drink on a hot day.  See also *sawa* and *sawayaka*."
スッカリ,すっかり,sukkari,*completely better**all better**quite nice*,"Used in a positive context, but literally translates as ""all""."
スッキリ,すっきり,sukkiri,(1) *clean**neat*;(2) *clean*;(3) *perfectly fine**all better**refreshed*,"(1) As in clean vs dirty;(2) As in clean, light, simple design;(3) Ex: a headache disappears and you feel all better again."
スコーン,すこーん,suko-n,*plonk*,
ズコン,ずこん,sukon,*plunk* *plonk*,
スク,すく,suku,*gets up*,
スクッ,すくっ,suku,*gets up*,SFX for changing to an upright position.
スクスク,すくすく,suku suku,*grow*,To grow up well.
スン,すん,sun,(1) *coldhearted**curt**blunt* *cold*;(2) *calm*(3) *smooth**fwwsh*,"(1) To take a coldhearted attitude; to be curt, blunt or cold;(2) To be concerned inside, while pretending no surface concern;(3) To carry oneself well, in the manner of a geisha."
スナリ,すなり,sunari,*slender* *smooth* *graceful*,See also *surari*.
スンナリ,すんなり,sunnari,*effortless*,For the flow of events to flow without interference.  To go smoothly.
スパ,すぱ,supa,(1) *cut* *break*;(1) *slash*,Cutting or breaking something.  See also *zuba*.
スパコーン,すぱこーん,supa ko-n,*ker-smack* *hits*,"SFX for a powerful, exaggerated hitting motion, like smacking someone smartly with a fan."
